°¡,B0A1|a
°¢,B0A2|a
°£,B0A3|ai
°¤,B0A4|ai
°¥,B0A5|ai
°¦,B0A6|ai
°§,B0A7|ai
°¨,B0A8|ai
°©,B0A9|ai
°ª,B0AA|ai
°«,B0AB|ai
°¬,B0AC|ai
°­,B0AD|ai
°®,B0AE|ai
°¯,B0AF|ai
°°,B0B0|an
°±,B0B1|an
°²,B0B2|an
°³,B0B3|an
°´,B0B4|an
°µ,B0B5|an
°¶,B0B6|an
°·,B0B7|an
°¸,B0B8|an
°¹,B0B9|ang
°º,B0BA|ang
°»,B0BB|ang
°¼,B0BC|ao
°½,B0BD|ao
°¾,B0BE|ao
°¿,B0BF|ao
°À,B0C0|ao
°Á,B0C1|ao
°Â,B0C2|ao
°Ã,B0C3|ao
°Ä,B0C4|ao
°Å,B0C5|ba
°Æ,B0C6|ba
°Ç,B0C7|ba
°È,B0C8|ba
°É,B0C9|ba
°Ê,B0CA|ba
°Ë,B0CB|ba
°Ì,B0CC|ba
°Í,B0CD|ba
°Î,B0CE|ba
°Ï,B0CF|ba
°Ğ,B0D0|ba
°Ñ,B0D1|ba
°Ò,B0D2|ba
°Ó,B0D3|ba
°Ô,B0D4|ba
°Õ,B0D5|ba
°Ö,B0D6|ba
°×,B0D7|bai
°Ø,B0D8|bai
°Ù,B0D9|bai
°Ú,B0DA|bai
°Û,B0DB|bai
°Ü,B0DC|bai
°İ,B0DD|bai
°Ş,B0DE|bai
°ß,B0DF|ban
°à,B0E0|ban
°á,B0E1|ban
°â,B0E2|ban
°ã,B0E3|ban
°ä,B0E4|ban
°å,B0E5|ban
°æ,B0E6|ban
°ç,B0E7|ban
°è,B0E8|ban
°é,B0E9|ban
°ê,B0EA|ban
°ë,B0EB|ban
°ì,B0EC|ban
°í,B0ED|ban
°î,B0EE|bang
°ï,B0EF|bang
°ğ,B0F0|bang
°ñ,B0F1|bang
°ò,B0F2|bang
°ó,B0F3|bang
°ô,B0F4|bang
°õ,B0F5|bang
°ö,B0F6|bang
°÷,B0F7|bang
°ø,B0F8|bang
°ù,B0F9|bang
°ú,B0FA|bao
°û,B0FB|bao
°ü,B0FC|bao
°ı,B0FD|bao
°ş,B0FE|bao
±¡,B1A1|bao
±¢,B1A2|bao
±£,B1A3|bao
±¤,B1A4|bao
±¥,B1A5|bao
±¦,B1A6|bao
±§,B1A7|bao
±¨,B1A8|bao
±©,B1A9|bao
±ª,B1AA|bao
±«,B1AB|bao
±¬,B1AC|bao
±­,B1AD|bei
±®,B1AE|bei
±¯,B1AF|bei
±°,B1B0|bei
±±,B1B1|bei
±²,B1B2|bei
±³,B1B3|bei
±´,B1B4|bei
±µ,B1B5|bei
±¶,B1B6|bei
±·,B1B7|bei
±¸,B1B8|bei
±¹,B1B9|bei
±º,B1BA|bei
±»,B1BB|bei
±¼,B1BC|ben
±½,B1BD|ben
±¾,B1BE|ben
±¿,B1BF|ben
±À,B1C0|beng
±Á,B1C1|beng
±Â,B1C2|beng
±Ã,B1C3|beng
±Ä,B1C4|beng
±Å,B1C5|beng
±Æ,B1C6|bi
±Ç,B1C7|bi
±È,B1C8|bi
